City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,description
117,Srandakan,-7.9386,110.2506,85.5,65,91,6.35,ID,2022-02-14 04:08:52,overcast clouds
118,Truth Or Consequences,33.1284,-107.2528,48.43,25,0,0.0,US,2022-02-14 04:06:00,clear sky
119,Mahebourg,-20.4081,57.7,82.26,86,100,13.94,MU,2022-02-14 04:08:52,light rain
120,Nabire,-3.3667,135.4833,87.46,61,85,6.08,ID,2022-02-14 04:08:53,overcast clouds
121,Srednekolymsk,67.45,153.6833,-19.97,92,18,5.17,RU,2022-02-14 04:08:53,few clouds
122,Flinders,-34.5833,150.8552,84.79,61,94,7.0,AU,2022-02-14 04:08:54,overcast clouds
123,Byron Bay,-28.65,153.6167,74.71,84,65,13.2,AU,2022-02-14 04:08:29,light rain
124,Port Alfred,-33.5906,26.891,68.05,84,79,16.96,ZA,2022-02-14 04:08:55,light rain
125,Kavaratti,10.5669,72.642,80.94,70,2,8.41,IN,2022-02-14 04:08:02,clear sky
126,Sitka,57.0531,-135.33,40.89,81,100,11.5,US,2022-02-14 04:08:56,light rain
127,Chapayeve,49.3662,35.8749,16.72,91,12,4.0,UA,2022-02-14 04:08:56,few clouds
128,Verkhnevilyuysk,63.4453,120.3167,-9.69,94,100,1.61,RU,2022-02-14 04:04:04,overcast clouds
129,Dalby,-27.1833,151.2667,82.27,43,35,21.09,AU,2022-02-14 04:08:57,scattered clouds
130,Vila Franca Do Campo,37.7167,-25.4333,57.2,69,100,4.05,PT,2022-02-14 04:08:57,overcast clouds
131,Constitucion,-35.3333,-72.4167,58.71,89,72,2.3,CL,2022-02-14 04:08:57,broken clouds
132,Gondanglegi,-7.7479,112.0132,83.61,74,90,8.23,ID,2022-02-14 04:08:58,moderate rain
133,Bengkulu,-3.8004,102.2655,84.92,63,78,5.06,ID,2022-02-14 04:08:59,broken clouds
134,Pilibanga,29.4916,74.079,64.49,40,0,6.93,IN,2022-02-14 04:08:59,clear sky
135,Cherskiy,68.75,161.3,-22.0,97,94,5.84,RU,2022-02-14 04:08:35,overcast clouds
136,Tulun,54.5611,100.5792,-10.8,96,100,7.4,RU,2022-02-14 04:09:00,overcast clouds
137,Ribeira Grande,38.5167,-28.7,57.88,68,90,2.91,PT,2022-02-14 04:09:00,overcast clouds
138,Tomatlan,19.9333,-105.25,70.65,56,47,3.13,MX,2022-02-14 04:09:01,scattered clouds
139,Provideniya,64.3833,-173.3,-7.49,71,0,8.95,RU,2022-02-14 04:10:01,clear sky
140,Dingle,10.9995,122.6711,85.59,64,100,11.43,PH,2022-02-14 04:10:02,overcast clouds
141,Chacabuco,-34.6417,-60.4739,63.81,55,0,4.16,AR,2022-02-14 04:10:02,clear sky
142,Hobart,-42.8794,147.3294,73.02,61,75,10.36,AU,2022-02-14 04:08:30,broken clouds
143,Ushibuka,32.1906,130.0228,54.46,52,50,9.89,JP,2022-02-14 04:10:03,scattered clouds
144,Grindavik,63.8424,-22.4338,25.27,80,40,9.22,IS,2022-02-14 04:10:03,light snow
145,Gallup,35.5281,-108.7426,36.01,31,0,0.0,US,2022-02-14 04:10:04,clear sky
146,Bethel,41.3712,-73.414,25.56,62,100,5.75,US,2022-02-14 04:10:04,overcast clouds
147,Ust-Omchug,61.15,149.6333,-12.01,88,100,5.21,RU,2022-02-14 04:07:40,overcast clouds
148,Bredasdorp,-34.5322,20.0403,64.27,72,100,16.4,ZA,2022-02-14 04:10:06,overcast clouds
149,Mackenzie,55.2999,-123.1698,32.9,99,100,1.3,CA,2022-02-14 04:10:06,snow
150,Buala,-8.145,159.5921,79.34,86,100,3.49,SB,2022-02-14 04:10:06,overcast clouds
151,Airai,-8.9266,125.4092,74.86,56,26,2.57,TL,2022-02-14 04:10:07,scattered clouds
152,Kaitangata,-46.2817,169.8464,59.94,74,99,7.29,NZ,2022-02-14 04:10:08,overcast clouds
153,Shimoda,34.6667,138.95,42.1,60,100,14.97,JP,2022-02-14 04:10:08,light rain
154,Tshikapa,-6.4167,20.8,69.6,96,100,3.29,CD,2022-02-14 04:10:09,overcast clouds
155,Sao Filipe,14.8961,-24.4956,72.95,68,87,10.83,CV,2022-02-14 04:06:20,overcast clouds
156,Kupang,-10.1667,123.5833,85.89,63,4,0.89,ID,2022-02-14 04:10:09,clear sky
157,Bermeo,43.4209,-2.7215,51.64,81,86,18.45,ES,2022-02-14 04:10:10,overcast clouds
158,Caracoli,6.4119,-74.7606,68.65,97,76,3.87,CO,2022-02-14 04:10:10,broken clouds
159,Takoradi,4.8845,-1.7554,78.15,86,100,5.61,GH,2022-02-14 04:10:11,overcast clouds
160,Tiksi,71.6872,128.8694,-10.59,90,27,9.31,RU,2022-02-14 04:10:11,scattered clouds
161,San Quintin,30.4833,-115.95,65.64,39,0,5.84,MX,2022-02-14 04:10:12,clear sky
162,Hithadhoo,-0.6,73.0833,82.35,72,73,13.18,MV,2022-02-14 04:10:13,broken clouds
163,Akyab,20.15,92.9,74.53,36,9,1.68,MM,2022-02-14 04:10:13,clear sky
164,Severo-Kurilsk,50.6789,156.125,26.67,69,78,16.75,RU,2022-02-14 04:10:14,broken clouds
165,Matara,5.9485,80.5353,81.84,67,59,3.36,LK,2022-02-14 04:10:14,broken clouds
166,Banda Aceh,5.5577,95.3222,84.56,65,82,6.96,ID,2022-02-14 04:10:15,broken clouds
167,Nome,64.5011,-165.4064,-7.53,64,0,4.61,US,2022-02-14 04:10:15,clear sky
168,Roma,43.2128,-75.4557,12.96,79,0,4.61,US,2022-02-14 04:10:16,clear sky
169,Batagay,67.6333,134.6333,-15.97,86,75,2.46,RU,2022-02-14 04:10:16,broken clouds
170,Channel-Port Aux Basques,47.5702,-59.1367,18.7,71,100,8.23,CA,2022-02-14 04:10:17,light snow
171,Vila,42.0304,-8.1588,42.93,94,92,4.09,PT,2022-02-14 04:10:17,overcast clouds
172,Chapais,49.7834,-74.8492,-23.82,100,91,1.88,CA,2022-02-14 04:09:58,overcast clouds
173,Barrow,71.2906,-156.7887,-29.18,68,0,8.05,US,2022-02-14 04:10:18,clear sky
174,Kiruna,67.8557,20.2251,-0.2,88,4,6.15,SE,2022-02-14 04:10:18,clear sky
175,Rio Grande,-32.035,-52.0986,60.91,56,0,10.02,BR,2022-02-14 04:08:54,clear sky
176,Punta De Bombon,-17.1717,-71.7931,70.05,83,70,5.37,PE,2022-02-14 04:10:19,broken clouds
177,Asau,46.4333,26.4,26.96,82,97,3.78,RO,2022-02-14 04:10:19,overcast clouds
178,San Jeronimo,-11.9472,-75.2829,49.03,88,100,3.27,PE,2022-02-14 04:10:20,overcast clouds
179,Ipixuna,-1.7625,-48.8043,76.95,97,99,2.73,BR,2022-02-14 04:10:20,overcast clouds
180,Kununurra,-15.7667,128.7333,80.58,78,66,0.0,AU,2022-02-14 04:10:21,broken clouds
181,Sao Miguel Dos Campos,-9.7811,-36.0936,76.5,78,100,6.73,BR,2022-02-14 04:10:21,overcast clouds
182,Cap Malheureux,-19.9842,57.6142,83.46,77,100,7.0,MU,2022-02-14 04:10:22,overcast clouds
183,Staryy Nadym,65.6118,72.6842,-18.27,100,94,8.19,RU,2022-02-14 04:11:22,overcast clouds
184,Along,28.1667,94.7667,65.79,27,0,0.67,IN,2022-02-14 04:11:22,clear sky
185,Natal,-5.795,-35.2094,79.45,89,40,5.75,BR,2022-02-14 04:11:23,scattered clouds
