City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Olafsvik,64.8945,-23.7142,31.89,79,100,11.97,IS,2022-02-14 00:58:51
129,Hilo,19.7297,-155.09,78.24,75,38,4.0,US,2022-02-14 00:58:34
130,Katherine,-14.4667,132.2667,86.32,62,20,5.75,AU,2022-02-14 00:58:51
131,Santa Marta,11.2408,-74.199,86.34,58,20,13.8,CO,2022-02-14 00:55:17
132,Richards Bay,-28.783,32.0377,77.07,88,100,9.06,ZA,2022-02-14 00:58:52
133,Nikolskoye,59.7035,30.7861,36.88,91,100,11.88,RU,2022-02-14 00:58:52
134,Avarua,-21.2078,-159.775,77.05,83,75,4.61,CK,2022-02-14 00:58:53
135,Flagstaff,35.1981,-111.6513,56.86,19,0,0.96,US,2022-02-14 00:57:02
136,Tomatlan,19.9333,-105.25,77.85,43,96,3.91,MX,2022-02-14 00:58:54
137,Sobolevo,54.4299,31.8996,21.13,89,96,11.74,RU,2022-02-14 00:59:54
138,Chuy,-33.6971,-53.4616,58.86,65,0,6.22,UY,2022-02-14 00:59:55
139,Upernavik,72.7868,-56.1549,-6.43,97,100,11.52,GL,2022-02-14 00:56:41
140,San Patricio,28.017,-97.5169,56.12,32,85,4.61,US,2022-02-14 00:59:55
141,Yerbogachen,61.2767,108.0108,-31.45,100,87,3.44,RU,2022-02-14 00:59:56
142,Chicama,-7.8447,-79.1469,68.54,69,58,5.39,PE,2022-02-14 00:59:56
143,Arlit,18.7369,7.3853,65.59,13,0,4.14,NE,2022-02-14 00:59:57
144,Nenjiang,49.1833,125.2167,-2.72,98,95,3.98,CN,2022-02-14 00:59:57
145,Xining,36.6167,101.7667,12.72,70,59,1.99,CN,2022-02-14 00:59:58
146,Sorland,67.667,12.6934,34.48,56,100,25.61,NO,2022-02-14 00:59:58
147,Lodja,-3.4833,23.4333,69.37,88,100,2.19,CD,2022-02-14 00:59:59
148,Victoria,22.2855,114.1577,59.32,81,24,5.99,HK,2022-02-14 00:57:01
149,Tilichiki,60.4667,166.1,-12.64,90,23,10.33,RU,2022-02-14 00:55:35
150,San Quintin,30.4833,-115.95,69.69,35,1,9.1,MX,2022-02-14 01:00:00
151,Anori,-3.7728,-61.6442,74.3,97,100,2.1,BR,2022-02-14 01:00:00
152,Hasaki,35.7333,140.8333,39.6,60,100,29.75,JP,2022-02-14 01:00:01
153,Grindavik,63.8424,-22.4338,30.67,86,75,9.22,IS,2022-02-14 01:00:02
154,Churapcha,62.0025,132.4325,-24.12,97,98,2.01,RU,2022-02-14 01:00:03
155,Sao Filipe,14.8961,-24.4956,73.44,68,68,11.16,CV,2022-02-14 01:00:05
156,Shenkursk,62.1091,42.896,20.93,95,100,9.04,RU,2022-02-14 01:00:06
157,Peniche,39.3558,-9.3811,54.63,88,0,13.8,PT,2022-02-14 01:00:08
158,Yining,29.0361,114.5636,44.87,78,5,0.78,CN,2022-02-14 01:00:10
159,Tiznit,29.5833,-9.5,53.2,49,0,3.47,MA,2022-02-14 01:00:12
160,Saskylakh,71.9167,114.0833,-17.77,92,18,2.84,RU,2022-02-14 00:58:00
161,Bintulu,3.1667,113.0333,78.84,88,98,3.42,MY,2022-02-14 01:00:13
162,Leh,34.1667,77.5833,-1.57,87,56,2.53,IN,2022-02-14 01:00:14
163,Kentau,43.5206,68.5094,28.74,97,100,5.61,KZ,2022-02-14 01:00:15
164,Vila Franca Do Campo,37.7167,-25.4333,59.2,71,100,4.23,PT,2022-02-14 01:00:16
165,Charters Towers,-20.1,146.2667,82.54,47,44,15.39,AU,2022-02-14 01:00:17
166,Plouzane,48.3833,-4.6167,46.45,87,75,10.36,FR,2022-02-14 01:00:17
167,Srednekolymsk,67.45,153.6833,-24.38,95,19,5.93,RU,2022-02-14 01:00:18
168,Riyadh,24.6877,46.7219,50.14,33,0,8.7,SA,2022-02-14 00:56:04
169,Gayny,60.3071,54.3241,-4.41,100,100,2.82,RU,2022-02-14 01:00:21
170,Mahebourg,-20.4081,57.7,81.25,87,100,14.27,MU,2022-02-14 01:00:21
171,Esperance,-33.8667,121.9,66.81,65,100,12.41,AU,2022-02-14 01:00:22
172,Bubaque,11.2833,-15.8333,77.94,64,0,6.64,GW,2022-02-14 01:00:22
173,Honiara,-9.4333,159.95,83.91,78,95,8.01,SB,2022-02-14 01:00:23
174,Flinders,-34.5833,150.8552,84.06,56,100,7.0,AU,2022-02-14 01:00:23
175,Xichang,27.8964,102.2634,41.58,64,0,1.14,CN,2022-02-14 01:00:24
176,Blind River,46.1834,-82.9582,-2.09,96,20,1.39,CA,2022-02-14 01:00:25
177,Ilulissat,69.2167,-51.1,-3.17,94,100,8.95,GL,2022-02-14 00:56:06
178,Daru,-9.0763,143.2092,85.53,61,63,10.42,PG,2022-02-14 01:00:26
179,Itarema,-2.9248,-39.9167,79.61,80,28,13.33,BR,2022-02-14 01:00:26
180,Shu,43.5983,73.7614,29.17,87,100,3.78,KZ,2022-02-14 01:00:27
181,Bandarbeyla,9.4942,50.8122,73.54,73,100,12.08,SO,2022-02-14 01:00:28
182,Acari,-15.4311,-74.6158,73.69,76,28,4.21,PE,2022-02-14 01:00:29
183,Korla,41.7597,86.1469,26.51,52,8,3.67,CN,2022-02-14 01:00:29
184,Ostrovnoy,68.0531,39.5131,21.88,62,100,26.98,RU,2022-02-14 01:01:30
185,Verkhnevilyuysk,63.4453,120.3167,-19.35,99,100,1.77,RU,2022-02-14 01:01:30
186,Obregon,11.9566,-85.9636,83.3,53,5,12.53,NI,2022-02-14 01:01:31
187,Sebezh,56.2955,28.4654,26.56,83,100,10.16,RU,2022-02-14 01:01:31
188,Ilhabela,-23.7781,-45.3581,74.86,89,28,8.57,BR,2022-02-14 01:01:32
189,Araci,-11.3333,-38.9667,73.94,87,95,2.08,BR,2022-02-14 01:01:32
190,Karratha,-20.7377,116.8463,92.62,43,51,7.63,AU,2022-02-14 01:01:33
191,Bethel,41.3712,-73.414,27.93,68,100,5.99,US,2022-02-14 00:58:00
192,Doka,13.5167,35.7667,72.99,35,98,10.96,SD,2022-02-14 01:01:33
